Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Lindsay Allen,CHI,G,40,950,40,950,12.0,.537,.498,.215,.233,1.5,4.8,26.1,1.7,0.6,20.7,14.3,104,109,,0.9,0.5,1.4,.059
Rebecca Allen,PHO,F-G,18,447,18,447,10.8,.518,.516,.559,.024,3.5,9.2,7.4,1.9,2.4,12.3,15.0,96,108,,0.0,0.3,0.3,.029
Laeticia Amihere,ATL,F,16,83,16,83,3.5,.284,.269,.000,.654,16.0,18.6,6.0,1.3,3.3,19.3,22.6,65,102,,-0.4,0.1,-0.3,-0.155
Ariel Atkins,WAS,G,40,1196,40,1196,15.9,.552,.516,.445,.199,3.5,6.8,19.2,2.5,1.3,14.5,24.0,102,104,,1.4,1.4,2.8,.093
Amy Atwell,PHO,F,6,59,6,59,8.3,.436,.367,.867,.333,6.1,5.9,15.5,0.0,1.5,10.4,14.9,101,116,,0.0,0.0,0.0,.002
Shakira Austin,WAS,C-F,12,239,12,239,17.5,.487,.434,.033,.446,10.3,20.6,9.1,3.2,4.3,16.7,33.0,88,95,,-0.4,0.6,0.2,.030
Kierstan Bell,LVA,F,6,43,6,43,11.5,.504,.500,.500,.125,2.8,8.1,18.4,0.0,0.0,5.6,19.2,106,107,,0.1,0.0,0.1,.089
Grace Berger,IND,G,11,102,11,102,7.4,.497,.440,.200,.560,4.7,8.6,10.1,2.5,0.0,24.3,17.9,88,110,,-0.1,0.0,-0.1,-0.029
Caitlin Bickle,CON,F,8,15,8,15,-10.1,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0,107,,-0.1,0.0,-0.1,-0.190
DeWanna Bonner,CON,F-G,40,1271,40,1271,16.8,.523,.471,.385,.279,2.1,11.6,11.2,2.0,2.0,8.9,22.9,104,96,,1.8,3.1,4.9,.154
Aliyah Boston,IND,F-C,40,1236,40,1236,20.4,.566,.537,.058,.247,10.7,16.8,17.3,1.4,3.5,13.8,20.6,114,107,,3.6,0.9,4.5,.147
Cameron Brink,LAS,F,15,330,15,330,12.7,.496,.447,.301,.243,6.6,14.6,13.2,2.4,8.9,23.0,20.0,87,99,,-0.4,0.6,0.2,.022
