"Player                                             ▾","2024 Salary","2024 Signing","G","MIN","USG%","PPP","ppsa","EFG%","FT Rate","3P Rate","% Pts FT","% Pts 2P","% Pts 3P","ORB%","DRB%","TRB%","AST%","TOV%","AST/TOV","STL%","BLK%","PF%"
"Lindsay Allen                                                                                   L Allen","$90,000","UFA","40","950","14.2%","0.85","1.07","49.8%","12.1%","19.4%","15.9%","68.2%","15.9%","1.5%","8.4%","4.8%","26.0%","20.6%","2.45","1.5%","0.6%","3.2%"
"Rebecca Allen                                                                                   R Allen","$160,000","UFA","18","447","14.4%","0.91","1.04","51.6%","1.8%","55.5%","1.5%","42.1%","56.4%","3.5%","15.1%","9.3%","6.8%","12.3%","1.11","1.6%","2.5%","3.4%"
"Laeticia Amihere                                                                                   L Amihere","$72,727","--","16","83","23.3%","0.45","0.56","26.9%","23.5%","0.0%","26.3%","73.7%","0.0%","16.2%","22.1%","18.4%","6.3%","19.0%","0.38","1.1%","3.4%","4.0%"
"Ariel Atkins                                                                                   A Atkins","$200,000","--","40","1,196","23.8%","0.94","1.10","51.6%","13.8%","40.9%","14.1%","46.2%","39.7%","3.5%","10.2%","6.8%","19.5%","14.5%","1.35","2.2%","1.4%","4.2%"
"Amy Atwell                                                                                   A Atwell","$8,892","UFA","6","59","15.0%","0.79","0.88","36.7%","50.0%","76.5%","26.7%","13.3%","60.0%","5.7%","5.2%","5.5%","16.7%","10.5%","3.00","0.0%","1.4%","2.1%"
"Amy Atwell                                                                                   A Atwell","$635","UFA","6","59","15.0%","0.79","0.88","36.7%","50.0%","76.5%","26.7%","13.3%","60.0%","5.7%","5.2%","5.5%","16.7%","10.5%","3.00","0.0%","1.4%","2.1%"
"Shakira Austin                                                                                   S Austin","$80,943","Rookie","12","238","32.2%","0.81","0.97","43.4%","17.6%","2.7%","25.5%","72.3%","2.1%","10.0%","31.3%","20.3%","9.5%","16.6%","0.38","2.7%","4.5%","5.5%"
"Rachel Banham                                                                                   R Banham","$95,000","UFA","37","586","17.6%","0.91","1.00","48.0%","11.8%","67.6%","7.6%","18.1%","74.3%","1.4%","9.7%","5.4%","11.4%","8.7%","2.00","1.1%","1.1%","4.6%"
"Kierstan Bell                                                                                   K Bell","$74,398","Rookie","6","43","17.8%","0.94","1.00","50.0%","11.1%","47.1%","5.9%","23.5%","70.6%","2.6%","12.5%","7.8%","16.1%","5.6%","5.00","0.0%","0.0%","5.0%"
"Grace Berger                                                                                   G Berger","$72,727","--","11","102","18.1%","0.76","1.00","44.0%","23.1%","16.1%","29.0%","51.6%","19.4%","4.5%","13.6%","8.9%","11.3%","24.4%","0.70","2.2%","0.0%","5.2%"
